Filename,Avg Edge Length,Vol,Nodes,Tetrahedra
PLAG046_1,46.96078,0.01229308,277.0,797.0
PLAG046_2,36.11887,0.01356946,773.0,2821.0
PLAG046_3,16.5128,0.01464292,5401.0,25195.0
PLAG046_4,12.68553,0.01492043,12438.0,61681.0
PLAG047_1,55.45945,0.01221445,211.0,493.0
PLAG047_2,28.94927,0.01395183,885.0,3067.0
PLAG047_3,16.99735,0.01501476,4386.0,18964.0
PLAG047_4,11.65116,0.01560456,9945.0,46325.0
PLAG048_1,20.41339,0.0003926196,84.0,195.0
PLAG048_2,37.568,0.004636313,362.0,893.0
PLAG048_3,14.15621,0.009277546,2764.0,10027.0
PLAG048_4,10.99621,0.009393787,5944.0,24378.0
PLAG049_1,19.81924,0.00656928,212.0,475.0
PLAG049_2,12.56393,0.008800771,573.0,1593.0
PLAG049_3,17.27139,0.009844362,3573.0,14415.0
PLAG049_4,11.52037,0.01010316,7826.0,34820.0
PLAG050_1,50.18856,0.01266709,269.0,917.0
PLAG050_2,34.021,0.01326496,825.0,3449.0
PLAG050_3,15.11461,0.01367961,6200.0,31282.0
PLAG050_4,13.00231,0.01373602,14495.0,76624.0
PLAG051_1,58.44798,0.01374741,239.0,839.0
PLAG051_2,33.99121,0.01438828,888.0,3822.0
PLAG051_3,13.93881,0.01475574,6796.0,34744.0
PLAG051_4,13.30375,0.01480691,15890.0,84992.0
PLAG052_1,56.83015,0.007045703,188.0,429.0
PLAG052_2,32.42965,0.00779829,486.0,1541.0
PLAG052_3,17.31972,0.008320086,3567.0,15652.0
PLAG052_4,11.85615,0.008407916,8135.0,38623.0
PLAG053_1,48.26153,0.01243334,229.0,818.0
PLAG053_2,31.47186,0.01308321,791.0,3385.0
PLAG053_3,16.80613,0.01335847,6149.0,31503.0
PLAG053_4,11.64268,0.01340473,14415.0,77332.0
PLAG054_1,54.00993,0.003013931,123.0,233.0
PLAG054_2,29.99741,0.003542543,288.0,699.0
PLAG054_3,15.20905,0.006232937,2412.0,8901.0
PLAG054_4,12.86879,0.006371967,5147.0,21340.0
PLAG055_1,51.26227,0.006332575,161.0,365.0
PLAG055_2,31.28618,0.007445324,475.0,1456.0
PLAG055_3,14.86104,0.008071375,3321.0,14350.0
PLAG055_4,12.35718,0.008162242,7448.0,35064.0
PLAG056_1,21.67373,0.0003347861,48.0,86.0
PLAG056_2,33.91182,0.002944724,211.0,426.0
PLAG056_3,17.20397,0.006932151,1976.0,6747.0
PLAG056_4,11.31173,0.007088197,4358.0,17031.0
PLAG057_1,58.63589,0.00711093,187.0,428.0
PLAG057_2,27.73472,0.007839587,472.0,1447.0
PLAG057_3,15.38194,0.008471305,3134.0,13489.0
PLAG057_4,13.05647,0.008629595,7167.0,33566.0
PLAG058_1,54.09226,0.0107002,203.0,711.0
PLAG058_2,31.96346,0.01133494,678.0,2901.0
PLAG058_3,16.69968,0.0117828,5279.0,26885.0
PLAG058_4,10.69954,0.0118514,12331.0,65945.0
PLAG059_1,38.10881,0.007362222,181.0,510.0
PLAG059_2,32.96346,0.007783715,522.0,1900.0
PLAG059_3,16.17458,0.008073438,3800.0,18011.0
PLAG059_4,11.45147,0.008120654,8800.0,44346.0
PLAG060_1,54.84073,0.006103246,164.0,412.0
PLAG060_2,38.73471,0.006687362,455.0,1508.0
PLAG060_3,14.87883,0.007073694,3122.0,14035.0
PLAG060_4,11.63264,0.007128656,7164.0,34811.0
PLAG061_1,32.23866,0.005744509,196.0,490.0
PLAG061_2,35.61632,0.007031661,432.0,1371.0
PLAG061_3,13.50103,0.007688465,2896.0,12910.0
PLAG061_4,11.91642,0.007787444,6621.0,31792.0
PLAG062_1,43.25519,0.005819238,128.0,296.0
PLAG062_2,31.12454,0.006871567,384.0,1229.0
PLAG062_3,15.42743,0.007367324,2783.0,12264.0
PLAG062_4,11.89187,0.007458517,6329.0,30173.0
PLAG063_1,50.05216,0.008667199,170.0,529.0
PLAG063_2,34.2819,0.009305162,567.0,2286.0
PLAG063_3,19.01242,0.009798376,4172.0,20712.0
PLAG063_4,12.69108,0.00989126,9802.0,51040.0
PLAG064_1,55.99559,0.0103767,188.0,671.0
PLAG064_2,33.63333,0.0109192,666.0,2886.0
PLAG064_3,13.54041,0.01135205,5054.0,26034.0
PLAG064_4,10.55577,0.01154078,23856.0,131443.0
PLAG065_1,34.14392,0.005896767,186.0,427.0
PLAG065_2,15.44415,0.006619522,442.0,1353.0
PLAG065_3,16.89786,0.007353292,2869.0,12287.0
PLAG065_4,11.46606,0.007543756,6403.0,29920.0
PLAG066_1,61.38269,0.01134707,203.0,736.0
PLAG066_2,28.70824,0.01181036,710.0,3162.0
PLAG066_3,16.56225,0.01209528,5578.0,29229.0
PLAG066_4,12.04336,0.01214102,13236.0,72084.0
PLAG067_1,62.63364,0.0074782,165.0,500.0
PLAG067_2,35.05888,0.008121738,527.0,2032.0
PLAG067_3,15.97011,0.00853274,3809.0,18323.0
PLAG067_4,13.00632,0.008607196,8755.0,44670.0
PLAG068_1,25.50224,0.005312405,155.0,336.0
PLAG068_2,20.43149,0.005905487,369.0,1085.0
PLAG068_3,16.2669,0.006415192,2394.0,10140.0
PLAG068_4,11.07136,0.006494695,5375.0,24800.0
PLAG069_1,46.802,0.01136626,209.0,778.0
PLAG069_2,31.2227,0.01185611,722.0,3203.0
PLAG069_3,17.89406,0.01216569,5656.0,29447.0
PLAG069_4,11.0405,0.01220818,13250.0,71890.0
PLAG070_1,53.1004,0.003944665,112.0,229.0
PLAG070_2,37.00537,0.004398612,355.0,1051.0
PLAG070_3,16.76196,0.004782059,2241.0,9262.0
PLAG070_4,12.81718,0.004835358,4932.0,22428.0
PLAG071_1,47.25671,0.008570428,188.0,616.0
PLAG071_2,36.67233,0.009034937,579.0,2383.0
PLAG071_3,14.426,0.009268194,4382.0,21999.0
PLAG071_4,10.72069,0.009310533,10238.0,54030.0
PLAG072,10.07418,0.006665639,7363.0,36507.0
PLAG073,10.39739,0.008713234,11328.0,59662.0
PLAG074,12.8881,0.008886283,9052.0,46744.0
PLAG075,10.8859,0.00571434,5565.0,26667.0
PLAG076,11.28437,0.003851387,3472.0,14777.0
PLAG077,12.98063,0.006881755,5872.0,28984.0
PLAG078,10.79957,0.004355589,4451.0,20645.0
PLAG079,12.25753,0.00837861,8963.0,47821.0
PLAG080,13.02612,0.004302202,4183.0,19270.0
PLAG081,13.44165,0.004884605,4574.0,22327.0
PLAG082,12.96357,0.007502922,8235.0,43935.0
PLAG083,10.83705,0.004690102,4513.0,21753.0
PLAG084,12.07093,0.005653288,6127.0,32013.0
PLAG085,10.66137,0.003832649,4013.0,18396.0
PLAG086,11.65253,0.005179846,4657.0,22150.0
PLAG087,12.22294,0.00350041,3235.0,14139.0
PLAG088,10.84077,0.004390858,4702.0,23423.0
PLAG089,11.81556,0.00321977,3517.0,16402.0
PLAG090,12.36325,0.003458049,3014.0,11925.0
PLAG091,12.12775,0.00547598,5805.0,29694.0
PLAG092,11.35015,0.004526238,5061.0,25643.0
PLAG093,12.73686,0.003128226,3141.0,13794.0
PLAG094,13.20939,0.004109415,3672.0,17379.0
PLAG095,12.21614,0.003474093,3757.0,18013.0
PLAG096,12.90619,0.005893147,6216.0,32380.0
PLAG097,11.49764,0.005512724,5819.0,30323.0
PLAG098,12.61454,0.00262785,2560.0,10916.0
PLAG099,11.33261,0.002955575,2971.0,13458.0
PLAG100,11.4721,0.005333985,5673.0,29476.0
PLAG101,12.97304,0.002887311,2756.0,12615.0
PLAG102,12.10664,0.003120993,3192.0,15072.0
PLAG103,11.98073,0.003859928,4176.0,21201.0
PLAG104,12.74851,0.003315214,3805.0,19057.0
PLAG105,11.49368,0.002439291,2605.0,11899.0
PLAG106,13.20258,0.003253851,3229.0,15888.0
PLAG107,13.18816,0.002867769,3038.0,14752.0
PLAG108,12.40044,0.002765791,2981.0,14653.0
PLAG109,13.39063,0.002461426,2549.0,12119.0
PLAG110,11.60027,0.001966106,1550.0,6234.0
PLAG111,10.55737,0.002659099,2866.0,13887.0
PLAG112,12.14079,0.002875449,3109.0,15335.0
PLAG113,11.35184,0.003111534,3436.0,17271.0
PLAG114,10.79527,0.001911079,2197.0,10134.0
PLAG115,10.73695,0.001816716,1966.0,8972.0
PLAG116,11.40499,0.002201,2536.0,12339.0
PLAG117,13.50218,0.00213727,2420.0,11798.0
PLAG118,11.79563,0.002362352,2098.0,9442.0
PLAG119,10.76997,0.002013619,2424.0,11635.0
PLAG120,12.90145,0.001710755,1420.0,6013.0
PLAG121,11.97993,0.002108125,2088.0,9669.0
PLAG122,10.69238,0.002147646,2218.0,10577.0
PLAG123,11.83798,0.001225191,1291.0,5209.0
PLAG124,13.92047,0.001224737,1190.0,4722.0
PLAG125,10.55913,0.001004779,1067.0,4085.0
PLAG126,11.81608,0.001420003,1254.0,5193.0
PLAG127,9.96312,0.002121808,2425.0,11979.0
PLAG128,12.17878,0.001438269,1276.0,5277.0
PLAG129,12.69877,0.001654588,1805.0,8443.0
PLAG130,11.60857,0.001726874,1878.0,8997.0
PLAG131,12.46097,0.001227078,1477.0,6605.0
PLAG132,11.84338,0.001325304,1565.0,6986.0
PLAG133,12.30185,0.001586223,1754.0,8144.0
PLAG134,10.95024,0.001509842,1762.0,8313.0
PLAG135,11.05046,0.001618416,1832.0,8656.0
PLAG136,10.60023,0.001838635,2050.0,9847.0
PLAG137,13.08656,0.001468514,1341.0,5810.0
PLAG138,12.52678,0.001067787,1324.0,6006.0
PLAG139,13.05466,0.00123942,1335.0,5964.0
PLAG140,13.25996,0.001378251,1480.0,6716.0
PLAG141,10.62206,0.001248813,785.0,2938.0
PLAG142,13.05724,0.001254851,1334.0,6073.0
PLAG143,11.42809,0.001326435,1583.0,7456.0
PLAG144,10.36333,0.001325933,1551.0,7348.0
PLAG145,10.93332,0.0008735474,1011.0,4318.0
PLAG146,12.25148,0.0009791047,1121.0,5080.0
PLAG147,13.02954,0.0008870916,1065.0,4728.0
PLAG148,11.64825,0.0009912553,1235.0,5620.0
PLAG149,12.03256,0.001026138,1269.0,5970.0
PLAG150,11.85107,0.0007932554,958.0,4008.0
PLAG151,9.06975,0.001157631,4169.0,21501.0
PLAG152,5.77556,0.0006433909,756.0,2944.0
PLAG153,12.53328,0.001202705,1398.0,6550.0
PLAG154,12.43749,0.0009051564,1058.0,4743.0
PLAG155,11.41669,0.000853864,1019.0,4458.0
PLAG156,11.35259,0.0009986061,1197.0,5547.0
PLAG157,12.20487,0.0009280664,1067.0,4858.0
PLAG158,12.65429,0.0007222706,930.0,4094.0
PLAG159,11.36086,0.0009259459,1086.0,4937.0
PLAG160,12.35023,0.0009001867,1076.0,4894.0
PLAG161,12.93475,0.0007862208,999.0,4512.0
PLAG162,10.92407,0.0008258962,953.0,4252.0
PLAG163,12.80801,0.000684361,881.0,3848.0
PLAG164,5.50761,0.000420311,473.0,1469.0
PLAG165,12.94708,0.0005388319,662.0,2727.0
PLAG166,10.41464,0.0006118532,663.0,2559.0
PLAG167,11.39483,0.0005239463,651.0,2555.0
PLAG168,12.15404,0.0007792887,953.0,4286.0
PLAG169,11.91577,0.0003863578,430.0,1431.0
PLAG170,13.22829,0.0007247204,841.0,3654.0
PLAG171,12.14601,0.0006378708,802.0,3538.0
PLAG172,11.13259,0.0007709938,964.0,4320.0
PLAG173,10.61666,0.0005626532,717.0,3012.0
PLAG174,13.21837,0.0006820677,866.0,3844.0
PLAG175,13.32212,0.000727791,896.0,4000.0
PLAG176,11.8996,0.000515181,690.0,2947.0
PLAG177,12.51815,0.0004808799,636.0,2619.0
PLAG178,10.51864,0.0003323951,437.0,1485.0
PLAG179,10.57867,0.0004669164,651.0,2676.0
PLAG180,7.99074,0.0005583443,2156.0,10461.0
PLAG181,8.19785,0.0004757668,1818.0,8512.0
PLAG182,8.28227,0.0004520255,1623.0,7539.0
PLAG183,8.3781,0.0004763701,1803.0,8512.0
PLAG184,8.13092,0.0003738211,1290.0,5448.0
PLAG185,7.71962,0.0003551434,1362.0,6058.0
PLAG186,7.82224,0.0004416032,1551.0,7042.0
PLAG187,8.29521,0.0004273631,1630.0,7557.0
PLAG188,7.79731,0.0004748962,1735.0,8038.0
PLAG189,7.60082,0.0001936632,694.0,2668.0
PLAG190,7.51238,0.0003599676,1490.0,6839.0
PLAG191,6.82499,0.0003834066,1518.0,7216.0
PLAG192,8.84618,0.0001923007,795.0,3237.0
PLAG193,8.16216,0.000406972,1514.0,7156.0
PLAG194,7.87382,0.0002272381,966.0,3915.0
PLAG195,7.83378,0.0002577257,1068.0,4751.0
