Filename,Avg Edge Length,Volume,Nodes,Tetrahedra
OPX078-2.pat,18.18981,0.08203041,27655.0,120160.0
OPX078-3.pat,14.81414,0.08265926,42599.0,191133.0
OPX078-4.pat,11.0195,0.08304004,74934.0,357263.0
OPX079-1.pat,19.25514,0.04120977,13661.0,61590.0
OPX079-2.pat,14.9745,0.04134382,21663.0,102389.0
OPX079-3.pat,10.60258,0.04144045,39194.0,193355.0
OPX080.pat,12.16138,0.004537858,3817.0,16333.0
OPX081-1.pat,16.20677,0.02950684,10235.0,46762.0
OPX081-2.pat,13.97876,0.02960065,16319.0,77609.0
OPX081-3.pat,10.51341,0.02965953,29490.0,145990.0
OPX082.pat,8.03233,0.003579507,3859.0,17115.0
