Filename,Volume,EVSD (mu),COG X,COG Y,COG Z,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Major Eigenvector X,Major Eigenvector Y,Major Eigenvector Z,Bearing,Plunge,Ob_Sph_Pro,Dip,Strike
PLAG001,1.11659816791492,1.28716067510129,4.76390132630629,4.24496984562551,8.94186856667615,0.0387718877991352,21.521075756333,21.4852636065521,-0.570436545010218,-0.130006453816074,0.810987342739068,215.121988615234,7.4699652577802,0.00180307904642466,82.5300347422198,305.121988615234
PLAG002,0.0855992635967967,0.546794077652769,18.7533558139098,9.95564107177133,4.49783121050063,0.000343750117616681,0.235357636731261,0.235426310355275,-0.586297147295153,-0.12461418253526,0.800454221417212,216.221119356875,7.15847586283404,0.00146033069758816,82.841524137166,306.221119356875
PLAG003,0.120201105329538,0.612308017856329,19.7378615619181,13.5507556700209,10.1847009487561,0.000875769068184012,0.0858495405209745,0.0855049738294056,-0.24838742359516,-0.102374649982171,0.963235754548588,194.459722924154,5.87592986485872,0.0102217629068564,84.1240701351413,284.459722924154
PLAG004,0.0913743854293519,0.558824299282169,23.106405794347,6.93134912904722,3.53866299717967,0.00237534598779803,0.0221845158181371,0.0199612988052146,0.533891002180655,0.187747027593108,-0.8244461482841,212.926098682629,10.8213324121257,0.113034907583621,79.1786675878743,302.926098682629
PLAG005,0.0382736398182842,0.41811946023283,15.9261303086484,12.6209874936605,6.68198824918493,6.21054909260955e-05,0.0843678398111954,0.0844073554556757,-0.0049621986043909,0.972668497727233,0.232145148805783,1.22453451559664,76.5734777441808,0.000735955235985643,13.4265222558192,91.2245345155966
PLAG006,0.098247921809597,0.572499243063564,14.1514488638258,13.3679964593684,12.3959341878238,0.00118948951398577,0.0206566526617444,0.0212721773513659,-0.532916922637581,-0.128116634629773,0.836412387221538,212.503092286259,7.36077336004863,0.0567507328298553,82.6392266399514,302.503092286259
PLAG007,0.0428660593217579,0.434215157291043,13.4827395957399,5.51332586214669,8.54234208035781,0.000129427211281154,0.0495817600159546,0.0496797127130835,0.0105711811224054,-0.971979389278871,-0.234828271182901,2.57752363982405,76.4044813974369,0.00260780610562301,13.5955186025631,92.577523639824
PLAG008,0.0311457594217662,0.390361310617268,9.80899110307045,5.24197445040938,4.01226000400469,3.72613509165193e-05,0.079069946554705,0.0790909530338665,-0.0118571926267191,0.972123771274263,0.234168273484085,2.89871619805643,76.4397183439675,0.000471182848235604,13.5602816560325,92.8987161980564
PLAG009,0.0916088663979432,0.55930190117457,8.00143817002983,0.874584370271037,6.12860854267935,0.000768875854801503,0.0315243691909804,0.0318958926451469,0.517875939448832,0.123539444068741,-0.846488344337461,211.458017555935,7.09641833915349,0.0242478419164404,82.9035816608465,301.458017555935
PLAG010,0.0464847554138525,0.446105224340376,25.3317262633412,8.67878832983025,7.44808466024575,0.000137838493005409,0.031492076144157,0.0314243974931016,0.0131102470490976,-0.972097258590506,-0.234211531020859,3.20385058918961,76.4332410968874,0.00438163948267639,13.5667589031126,93.2038505891896
PLAG011,0.0636024446698874,0.495250659082452,12.9615072214841,4.93901792082687,7.51573092121882,0.000330860150527267,0.0222270712809,0.0221628620602379,-0.473084771415863,-0.125850067136491,0.871981972093541,208.481585177938,7.22984872430556,0.0149070213846771,82.7701512756945,298.481585177938
PLAG012,0.103373582891805,0.582286849803792,11.7231895633845,0.494253719385297,10.1340106318151,0.00135679475625892,0.0158988759816043,0.0164204866204976,-0.518403478512697,-0.578976544568414,-0.629320263701682,320.519960393073,35.3785903889741,0.0839836030918486,54.6214096110259,50.5199603930735
PLAG013,0.0322057034066991,0.394740229168002,22.3167013115802,3.42064509415064,14.2259166754763,4.18575434971771e-05,0.0333467544782837,0.0333560378172195,-0.00368072351602915,0.970279472631137,0.241959081799054,0.871526112399636,75.996151072593,0.00125504623921905,14.003848927407,90.8715261123996
PLAG014,0.0309558206655357,0.389566167854921,10.9224483118422,5.36507564896859,6.44742611608497,6.29734657155157e-05,0.0257456106801662,0.0257826714768992,0.00986188479775263,-0.972662563147918,-0.232013537274786,2.43392888984039,76.5720134426438,0.00244423045578859,13.4279865573562,92.4339288898404
PLAG015,0.0422740504152775,0.432206950058075,17.2396485245126,6.65522126833565,3.66269837811682,0.000145722491025464,0.0158025597623919,0.0157813097643222,-0.508715891448663,-0.129385129734833,0.851156642452547,210.865747466703,7.43406277116657,0.00922765697643604,82.5659372288334,300.865747466703
