Filename,Volume,EVSD (mu),COG X,COG Y,COG Z,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Major Eigenvector X,Major Eigenvector Y,Major Eigenvector Z,Bearing,Plunge,Ob_Sph_Pro,Strike,Dip
OPX001,0.00724484207177441,0.240073063008218,19.707158466279,2.53228176277018,0.217598756128262,0.000109883737447817,7.47583623782767e-05,4.23239563995022e-05,-0.0853585568116976,-0.861117565246171,0.501189041783168,189.665424003165,59.4422955674226,0.475656889174094,279.665424003164,30.5577044325774
OPX002,0.00435268670903814,0.202575193459707,16.3180527155672,3.345882652522,0.224645572715935,7.73494390287821e-06,6.65482538465774e-05,7.0188347508106e-05,-0.105580709769966,-0.9143372561138,0.390947689348279,195.112967297569,66.1117832796703,0.113216642532728,285.112967297569,23.8882167203297
OPX003,0.00468656534055055,0.207627727860334,0.916514658103474,3.4189534685397,0.221680012298452,9.81451920782736e-05,0.000122692396947,2.58421191631515e-05,0.0269124230110626,0.856658410444738,-0.515181608078131,177.009660465373,58.9434345999465,0.236965131466361,267.009660465373,31.0565654000535
OPX004,0.0267982704937406,0.371280991091567,7.92803291899482,3.51260507973078,0.282139821173084,0.000320590823985979,0.00106932649888382,0.00134303126270636,-0.226700323111399,-0.84648396479166,0.481738373862597,205.201115065234,57.8312807367598,0.269256599351805,295.201115065234,32.1687192632402
OPX005,0.0146501651727551,0.30358569215176,8.77432781980316,3.36319157474595,0.375115808084048,4.03110279259928e-05,0.00122157083919065,0.0012425676223134,-0.0756037167383099,-0.864435352967515,0.497026758389608,188.649072714145,59.8182923548262,0.0327205273645727,278.649072714145,30.1817076451738
OPX006,0.333903556612235,0.860744271242545,12.4666500844449,3.99841418978121,0.376010985745678,0.0116558694518816,0.0741327220923593,0.0758250491607397,0.126663904717423,0.967439396728211,-0.219128430149745,149.970584076272,75.3388054285217,0.155475158464628,239.970584076272,14.6611945714783
OPX007,0.0126989027045384,0.289460422151556,14.0662890926544,3.60697132744197,0.284512757106465,5.63266338670906e-05,0.000422110359413658,0.000460920393796013,-0.096218422416138,-0.86165914309565,0.498282586799319,190.92930361921,59.5033848982008,0.127822614518495,280.92930361921,30.4966151017992
OPX008,0.114711678912786,0.602841309575821,22.9539136333917,5.84828107658879,0.676616439914285,0.00358418937575701,0.034410616849229,0.0378246546670107,-0.115894788163464,-0.849581602417783,0.514567292887702,192.692798405151,58.1661912814703,0.099458712384893,282.692798405151,31.8338087185297
OPX009,0.0201401116804724,0.337562673143256,0.738835482591155,10.5246741646758,0.477588034634464,0.000115364723410256,0.00390938812771647,0.00401453880215246,-0.0454236484895962,-0.858793005828987,0.510305070812653,185.086647843611,59.1813305800445,0.0291231968647722,275.086647843611,30.8186694199555
OPX010,0.0015949296994533,0.144959819966871,21.333945579159,12.1813966074568,0.222448558267982,1.77624909967007e-06,1.96970004436864e-05,2.12690018307717e-05,-0.0888965382338108,-0.858453469585044,0.505128742052404,189.981155922966,59.1433794991112,0.0868460872501587,279.981155922966,30.8566205008888
