particle_id,phase,source_path,source_folder,stl_size_bytes,stl_size_mib,stl_format,metadata_volume_um3,metadata_evsd_um,size_rank,size_bin_index,size_bin,input_unit,input_scale_to_meters,target_edge_length_native,target_edge_length_m,surface_path,surface_file_size_bytes,surface_n_points_surface,surface_n_triangles_surface,surface_surface_area,surface_surface_volume,surface_bbox_xmin,surface_bbox_xmax,surface_bbox_ymin,surface_bbox_ymax,surface_bbox_zmin,surface_bbox_zmax,surface_bbox_diagonal,surface_boundary_edge_count,surface_non_manifold_edge_count,surface_connected_components,surface_is_watertight,surface_area_min,surface_area_median,surface_area_p95,surface_area_max,surface_min_angle_min,surface_min_angle_median,surface_min_angle_p95,surface_min_angle_max,surface_max_angle_min,surface_max_angle_median,surface_max_angle_p95,surface_max_angle_max,surface_aspect_ratio_min,surface_aspect_ratio_median,surface_aspect_ratio_p95,surface_aspect_ratio_max,msh_path,merrill_msh_path,merrill_msh_size_bytes,merrill_msh_size_mib,mesh_strategy,voxel_spacing_native,voxel_cells,voxel_points,msh_size_bytes,msh_size_mib,n_nodes,n_tets,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,volume_min,volume_median,volume_p95,volume_max,scaled_jacobian_min,scaled_jacobian_median,scaled_jacobian_p95,scaled_jacobian_max,radius_ratio_min,radius_ratio_median,radius_ratio_p95,radius_ratio_max,aspect_ratio_min,aspect_ratio_median,aspect_ratio_p95,aspect_ratio_max,min_angle_min,min_angle_median,min_angle_p95,min_angle_max,max_angle_min,max_angle_median,max_angle_p95,max_angle_max,edge_length_min,edge_length_median,edge_length_p95,edge_length_max,edge_length_min_m,edge_length_median_m,edge_length_p95_m,edge_length_max_m,bbox_xmin_m,bbox_xmax_m,bbox_ymin_m,bbox_ymax_m,bbox_zmin_m,bbox_zmax_m,mesh_storage_bytes,vector_state_bytes,scalar_state_bytes,tet_workspace_bytes,sparse_operator_bytes,estimated_memory_bytes,estimated_memory_mib,estimated_memory_gib,estimated_memory_human,estimate_note,status,attempted_mesh_strategies,strategy_errors
PLAG185,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG185-binary.stl,Plag Binary meshes,26937,0.025689125061035156,ascii,0.0003078596026586,0.0837756926829327,62,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG185-binary.stl,26937,85,166,0.04168429134508772,0.0003541172464720251,23.0048770904541,23.20963478088379,9.865006446838379,9.927267074584961,15.219371795654297,15.299371719360352,0.22847775679587012,0,0,1,True,0.00020474879875109764,0.00021247166841931175,0.00036075548898968916,0.0003607779723713267,34.44980179266129,44.32774165145066,59.16471640478044,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.3941744924291908,1.4639931274490585,1.479224314564088,,data/Nikolaisen2022_merrill_msh/PLAG185.msh,115939,0.11056804656982422,voxel,0.009,540.0,897.0,115939,0.11056804656982422,897,3240,23.013778686523438,23.20963478088379,9.865006446838379,9.927267074584961,15.219371795654297,15.299371719360352,1.1728112677781659e-07,1.1730628765495993e-07,1.1733142292122412e-07,1.1733142292122412e-07,0.4083792697365941,0.5768239296807454,0.706312739524363,0.7063487419202399,1.3660261495524204,1.3937874953826404,1.6055607239673368,1.6055783401786394,1.3664654397107807,1.7070340867796165,1.9664022623867623,1.9664238377512082,35.226758415574764,54.70665528597272,59.96807584514676,59.96807584514676,-1.0,-1.0,-1.0,-1.0,0.00888824462890625,0.012574596998971892,0.015407008434787019,0.015408109150866186,8.88824462890625e-09,1.2574596998971891e-08,1.5407008434787017e-08,1.5408109150866186e-08,2.3013778686523436e-05,2.320963478088379e-05,9.865006446838378e-06,9.92726707458496e-06,1.5219371795654296e-05,1.529937171936035e-05,125208,258336,86112,207360,3444480,6182244.0,5.895847320556641,0.005757663398981094,5.90 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Invalid boundary mesh (overlapping facets) on surface 14 surface 20 | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG183,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG183-binary.stl,Plag Binary meshes,27261,0.02599811553955078,ascii,0.0004275236177801,0.0934660372020625,63,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG183-binary.stl,27261,87,168,0.044189339983944725,0.003559994964640601,13.422203063964844,13.606485366821289,8.744327545166016,8.868847846984863,11.67937183380127,11.739372253417969,0.23035911760838018,4,2,1,False,0.0002047392622444022,0.00021249146084301174,0.0003607667305938688,0.0003607779723713267,34.44980179266129,44.61301551601138,59.16548789094651,59.16703377057601,60.99373314760741,90.0,90.0,90.0,1.0101251340138815,1.393955405098647,1.4791986645084598,1.479224314564088,,data/Nikolaisen2022_merrill_msh/PLAG183.msh,170142,0.1622600555419922,pymeshfix_gmsh,,,,219795,0.20961284637451172,1290,4781,13.44267845153809,13.60648536682129,8.744327545166016,8.868847846984865,11.67937183380127,11.73937225341797,2.1075128786475294e-09,8.86580702784717e-08,1.8751177441609026e-07,3.97983714416012e-07,0.008509379138735644,0.5599540328744939,0.7985866604534856,0.9696060697004334,1.004711368028029,1.30026125623705,2.127220507113467,2962.5510466547,1.0375295194983212,1.5385693227768331,2.4873928306783846,101.70820598876952,0.7670088366125555,49.68164196018208,67.57554894190334,83.67133605847046,-1.0,-1.0,-1.0,-1.0,0.0037137554649240654,0.010011011234440101,0.014369181994489121,0.017470349756966635,3.7137554649240654e-09,1.0011011234440101e-08,1.436918199448912e-08,1.7470349756966633e-08,1.344267845153809e-05,1.360648536682129e-05,8.744327545166015e-06,8.868847846984865e-06,1.1679371833801269e-05,1.173937225341797e-05,183952,371520,123840,305984,4953600,8908344.0,8.495658874511719,0.00829654186964035,8.50 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles
PLAG182,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG182-binary.stl,Plag Binary meshes,28425,0.027108192443847656,ascii,0.0003762916415321,0.0895726280225599,64,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG182-binary.stl,28425,88,172,0.044509409841694186,0.0030257344868421295,13.217445373535156,13.422203063964844,13.123278617858887,13.206292152404785,14.379371643066406,14.479372024536133,0.24252223609804038,3,3,1,False,0.00020474879875109764,0.00021247166841931175,0.00036075549404576153,0.0003607779723713267,34.45042416714881,44.327058820313106,59.16548000192535,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.3941751588452869,1.4708325433124223,1.4792136550338595,,data/Nikolaisen2022_merrill_msh/PLAG182.msh,175714,0.1675739288330078,pymeshfix_gmsh,,,,228794,0.21819496154785156,1359,4911,13.21744537353516,13.42220306396484,13.12327861785888,13.20629215240479,14.3793716430664,14.47937202453613,6.108242862367872e-09,7.759595670905053e-08,1.7003771449727745e-07,3.542824062820641e-07,0.018362749897293373,0.5466131645594091,0.7925917242877776,0.9510329381999401,1.0033876244478555,1.31883926798315,2.223631938430004,622.8133170396094,1.0263122074118387,1.5615616544896684,2.5769444878979018,41.49014992896963,2.3797309518815526,48.60079011474891,67.14766519253232,82.98315739552297,-1.0,-1.0,-1.0,-1.0,0.0030824660108446757,0.009610565009895815,0.013970067092319313,0.02018291953041442,3.0824660108446757e-09,9.610565009895814e-09,1.3970067092319312e-08,2.018291953041442e-08,1.321744537353516e-05,1.342220306396484e-05,1.312327861785888e-05,1.320629215240479e-05,1.4379371643066398e-05,1.4479372024536128e-05,189768,391392,130464,314304,5218560,9366732.0,8.932811737060547,0.00872344896197319,8.93 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles
PLAG181,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG181-binary.stl,Plag Binary meshes,28719,0.027388572692871094,ascii,0.0004344165789377,0.0939656789894343,65,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG181-binary.stl,28719,91,177,0.042949836360736474,0.0018508828653386058,26.710996627807617,26.895278930664062,11.4630126953125,11.546026229858398,9.319372177124023,9.379371643066406,0.21083441364551675,2,1,1,False,0.00020474879875109764,0.00021247166841931175,0.000360744254220975,0.0003607779723713267,34.45042416714881,44.61301551601138,59.16467692102466,59.166248488915194,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.393955405098647,1.4639737687760097,1.4792136550338595,,data/Nikolaisen2022_merrill_msh/PLAG181.msh,161602,0.1541156768798828,pymeshfix_gmsh,,,,207771,0.19814586639404297,1233,4533,26.71099662780762,26.87480354309082,11.4630126953125,11.5460262298584,9.319372177124022,9.379371643066408,1.1456945600371244e-08,9.522397894162905e-08,1.9652640824315814e-07,3.5445419604679315e-07,0.07169327756156403,0.556905326930381,0.8036038194605659,0.9811110186266063,1.0010535668409797,1.3053652158068658,2.120376800690555,32.088224295423636,1.020585391110948,1.5418301998537307,2.457687425308494,9.888893821170244,9.073150756276695,49.52387608212232,66.9764184156905,81.1856154420067,-1.0,-1.0,-1.0,-1.0,0.0036495250748978954,0.010108183632143265,0.01475752121889188,0.018472524671934037,3.6495250748978953e-09,1.0108183632143263e-08,1.4757521218891879e-08,1.8472524671934035e-08,2.6710996627807618e-05,2.6874803543090818e-05,1.14630126953125e-05,1.15460262298584e-05,9.319372177124021e-06,9.379371643066408e-06,174648,355104,118368,290112,4734720,8509428.0,8.115222930908203,0.007925022393465042,8.12 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Invalid boundary mesh (overlapping facets) on surface 6 surface 7
PLAG180,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG180-binary.stl,Plag Binary meshes,29043,0.02769756317138672,ascii,0.0005292896911068,0.100360990226057,66,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG180-binary.stl,29043,91,179,0.04682543409690379,0.001840454268924544,23.06630516052246,23.23011016845703,5.7558488845825195,5.901122093200684,12.399372100830078,12.459371566772461,0.22701612647570307,3,4,1,False,0.00020474879875109764,0.0002124816965078935,0.0003607504353808134,0.00036078359104281164,34.448262609097725,44.61433184461598,59.16546225162776,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.3939546678003747,1.463988556278136,1.4792506797935838,,data/Nikolaisen2022_merrill_msh/PLAG180.msh,189294,0.1805248260498047,pymeshfix_gmsh,,,,245640,0.23426055908203125,1396,5359,23.06630516052246,23.23011016845703,5.75584888458252,5.901122093200684,12.39937210083008,12.45937156677246,5.234806966120957e-09,9.647699460320454e-08,2.043171798424326e-07,3.935626588106453e-07,0.03273468975446386,0.5543234411123733,0.8033285938891601,0.9928021930616284,1.0001768330183851,1.309571453606954,2.3272433158842736,59.79177091403949,1.008986601318389,1.5481847437003395,2.6837711356639806,14.764091309756838,5.792759884695283,49.631134408161564,67.10348256160967,81.44690680642223,-1.0,-1.0,-1.0,-1.0,0.0016211208925070524,0.010333493508418065,0.014796135300561224,0.025363734231574838,1.6211208925070524e-09,1.0333493508418066e-08,1.4796135300561223e-08,2.5363734231574837e-08,2.306630516052246e-05,2.323011016845703e-05,5.7558488845825205e-06,5.901122093200683e-06,1.2399372100830079e-05,1.245937156677246e-05,204992,402048,134016,342976,5360640,9667008.0,9.21917724609375,0.009003102779388428,9.22 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles
PLAG179,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG179-binary.stl,Plag Binary meshes,30573,0.02915668487548828,ascii,0.0004484517452846,0.0949669227042816,67,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG179-binary.stl,30573,98,192,0.04543989908141022,0.0004773505967503859,25.052457809448242,25.175312042236328,1.9994980096817017,2.1862781047821045,5.259372234344482,5.29937219619751,0.22711222641660747,0,0,1,True,0.0002047536804639094,0.00021247410927571764,0.000360738634821562,0.00036077516410649795,34.449055406897266,44.614002756717504,59.16506958921053,59.16664113262965,60.995270544327674,90.0,90.0,90.0,1.010140617789955,1.3939548518925715,1.4639785188313361,1.4792370990823347,,data/Nikolaisen2022_merrill_msh/PLAG179.msh,172354,0.1643695831298828,gmsh,,,,214382,0.2044506072998047,1300,4850,25.052458,25.17531200000001,1.999498,2.186278000000001,5.259371999999999,5.299372000000001,1.0488607847620443e-08,9.304171387895305e-08,1.7794849728947846e-07,3.424349816531442e-07,0.1370538835265441,0.5654722102682603,0.7987686809978398,0.9773940860057813,1.0005658947007057,1.2946025391620197,2.086383877095326,5.249885495449859,1.0119501737085685,1.5321908929949564,2.4246986086748135,4.0436381730939495,12.707756781164155,50.25002498919207,66.83527285831863,81.38534777281043,-1.0,-1.0,-1.0,-1.0,0.0037010742007768677,0.009962468191473034,0.014243302020932679,0.017132906882823526,3.7010742007768674e-09,9.962468191473034e-09,1.4243302020932678e-08,1.7132906882823525e-08,2.5052458e-05,2.517531200000001e-05,1.999498e-06,2.186278000000001e-06,5.259371999999999e-06,5.2993720000000005e-06,186400,374400,124800,310400,4992000,8982000.0,8.565902709960938,0.008365139365196228,8.57 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh,
PLAG178,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG178-binary.stl,Plag Binary meshes,30825,0.029397010803222656,ascii,0.0002555305101236,0.0787314131292121,68,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG178-binary.stl,30825,101,190,0.04601875826960514,0.0063544646034981245,21.489667892456055,21.551095962524414,11.379999160766602,11.753559112548828,9.61937141418457,9.67937183380127,0.3833020945964719,13,5,1,False,0.0002075239221994707,0.00021247166841931175,0.00036075549516933315,0.0003607779723713267,35.38975863716515,44.61301551601138,59.16546225162776,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.393955405098647,1.45581380789501,1.4639931274490585,,data/Nikolaisen2022_merrill_msh/PLAG178.msh,108071,0.10306453704833984,voxel,0.009,497.0,874.0,108071,0.10306453704833984,874,2982,21.489667892456055,21.551095962524414,11.424470901489258,11.709087371826172,9.61937141418457,9.67937183380127,1.1146717380135691e-07,1.1150381164920509e-07,1.1151576788034911e-07,1.1151576788034911e-07,0.41207509980624457,0.5683731562843859,0.6892786977759858,0.6892786977759858,1.3665592070438677,1.3927196791043561,1.615884314245607,1.6159259382459992,1.3800902011353309,1.705726284269199,1.9790460266344216,1.9790970054154282,34.57704467985116,53.916505493527204,58.99804088836849,58.999818405168085,-1.0,-1.0,-1.0,-1.0,0.008570671081542969,0.01226660129738721,0.015152178020629983,0.015152737824351562,8.570671081542969e-09,1.226660129738721e-08,1.5152178020629983e-08,1.515273782435156e-08,2.1489667892456053e-05,2.1551095962524413e-05,1.1424470901489258e-05,1.1709087371826172e-05,9.61937141418457e-06,9.67937183380127e-06,116400,251712,83904,190848,3356160,5998536.0,5.720649719238281,0.005586571991443634,5.72 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG177,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG177-binary.stl,Plag Binary meshes,30900,0.029468536376953125,ascii,0.0004270945348056,0.0934347577529594,69,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG177-binary.stl,30900,96,187,0.046307049634004366,0.0013380752257527663,19.544466018676758,19.605894088745117,14.326971054077148,14.534503936767578,11.779372215270996,11.879371643066406,0.23841810071706462,2,1,1,False,0.00020474879875109764,0.0002124521415680647,0.00036075548898968916,0.0003607779723713267,34.44981838010005,43.94219106381195,59.16471640478044,59.16856589390032,60.99373345506567,90.0,90.0,90.0,1.010124648649406,1.394658344241152,1.4639590019994253,1.4792240304577058,,data/Nikolaisen2022_merrill_msh/PLAG177.msh,151416,0.14440155029296875,voxel,0.009,715.0,1114.0,151416,0.14440155029296875,1114,4290,19.544466018676758,19.605894088745117,14.326971054077148,14.534503936767578,11.78846263885498,11.879371643066406,1.1993830673998987e-07,1.199769657213879e-07,1.1998964693539504e-07,1.1998964693539504e-07,0.40509565436957923,0.5672930359249496,0.6919789752769601,0.6919789752769601,1.3665527915275608,1.3956038619815136,1.598841336587141,1.5988413365871412,1.3806790496459023,1.7092586724561534,1.9581727271539744,1.9581727271539748,34.976745183901045,55.01886462057006,60.71037349425962,60.713990010330775,-1.0,-1.0,-1.0,-1.0,0.0087738037109375,0.012586597999598586,0.01552660492535313,0.015527163296123648,8.7738037109375e-09,1.2586597999598586e-08,1.552660492535313e-08,1.5527163296123648e-08,1.9544466018676757e-05,1.9605894088745117e-05,1.4326971054077147e-05,1.4534503936767578e-05,1.178846263885498e-05,1.1879371643066406e-05,164016,320832,106944,274560,4277760,7716168.0,7.358711242675781,0.007186241447925568,7.36 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of boundary mesh for parametrization | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG176,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG176-binary.stl,Plag Binary meshes,31050,0.029611587524414062,ascii,0.0004921343697551,0.0979553945048908,70,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG176-binary.stl,31050,100,195,0.04891060462855463,4.451371817534036e-05,24.069618225097656,24.23342514038086,2.248538017272949,2.393810987472534,2.959372043609619,3.039371967315674,0.23310282957995718,2,1,1,False,0.0002047536804639094,0.0002124816965078935,0.0003607526807982293,0.00036077516410649795,34.44967771784042,44.61433184461598,59.16506958921053,59.16664113262965,60.995270544327674,90.0,90.0,90.0,1.010140617789955,1.3939546678003747,1.463983940870843,1.4792264397106363,,data/Nikolaisen2022_merrill_msh/PLAG176.msh,180530,0.1721668243408203,pymeshfix_gmsh,,,,235812,0.22488784790039062,1399,5043,24.06961822509766,24.23342514038086,2.248538017272949,2.393810987472534,2.959372043609619,3.039371967315674,8.475386181600043e-09,9.270319627469397e-08,1.9844762853369077e-07,3.5908747267039874e-07,0.05397315063411535,0.5460958074195316,0.7963777738099428,0.9889383900745244,1.000440534887256,1.3117522420912142,2.160145406484719,8.088932581471898,1.016062483928917,1.554337840080006,2.4873437759631245,6.140357797953435,10.682321523623596,49.70116139867459,67.07155736607001,79.84195100660236,-1.0,-1.0,-1.0,-1.0,0.002496663177391583,0.010160543321633965,0.014578887493044411,0.018758648832861196,2.4966631773915828e-09,1.0160543321633965e-08,1.457888749304441e-08,1.8758648832861196e-08,2.4069618225097657e-05,2.423342514038086e-05,2.248538017272949e-06,2.3938109874725343e-06,2.959372043609619e-06,3.0393719673156736e-06,194952,402912,134304,322752,5372160,9640620.0,9.194011688232422,0.008978527039289474,9.19 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity
PLAG175,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG175-binary.stl,Plag Binary meshes,32445,0.03094196319580078,ascii,0.0006609443641062,0.108074216017045,71,1,01_small,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG175-binary.stl,32445,101,200,0.05064891758108795,0.0006912370723490928,18.52067756652832,18.66400718688965,11.608285903930664,11.732806205749512,8.61937141418457,8.699371337890625,0.20603075845842517,0,1,1,True,0.00020474879875109764,0.00021247166841931175,0.00036075548898968916,0.0003607667372703575,34.44980179266129,44.61301551601138,59.16546225162776,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.393955405098647,1.4639836269373365,1.479224314564088,,data/Nikolaisen2022_merrill_msh/PLAG175.msh,244650,0.23331642150878906,gmsh,,,,313713,0.2991800308227539,1745,6987,18.520678,18.664007,11.608286,11.732806,8.619370999999997,8.699371,7.353575502137438e-10,9.244417398505224e-08,1.8404332928904878e-07,3.2744884492700765e-07,0.016674551204977857,0.5759884382819185,0.8065536056833537,0.9629586060916845,1.002281461319621,1.2873032009006473,2.099312456209546,514.7309631882298,1.0313593888812387,1.522046318122974,2.4527756365451445,60.83252444357882,1.4769706827597775,49.780685292421275,66.88526889009556,80.88439813891317,-1.0,-1.0,-1.0,-1.0,0.0026224625053881943,0.010018537015682675,0.014226202448526529,0.02098315273089767,2.622462505388194e-09,1.0018537015682674e-08,1.4226202448526529e-08,2.0983152730897668e-08,1.8520678e-05,1.8664007000000002e-05,1.1608285999999999e-05,1.1732806e-05,8.619370999999996e-06,8.699370999999999e-06,265464,502560,167520,447168,6700800,12125268.0,11.563556671142578,0.011292535811662674,11.56 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh,
